Unnamed: 0,Pickup_Date,Number of Trips,Number of Vehicles,humidity,wind,price,month,day
1030,2007-10-28,1018,85,0.55,15.23,23.5,10,Sunday
1031,2007-10-29,158,83,0.56,15.3,10.5,10,Monday
1032,2007-10-30,560,52,0.55,15.68,31.5,10,Tuesday
1033,2007-10-31,49,21,0.56,15.62,11,10,Wednesday
1034,2007-11-01,942,72,0.56,15.66,8,11,Thursday
1035,2007-11-02,1626,142,0.56,15.57,16,11,Friday
1036,2007-11-03,907,112,0.56,15.41,10.5,11,Saturday
1037,2007-11-04,708,80,0.55,15.69,30,11,Sunday
1038,2007-11-05,1424,127,0.56,15.61,11,11,Monday
1039,2007-11-06,992,109,0.56,15.55,7,11,Tuesday
1040,2007-11-07,1046,107,0.92,1.22,22.5,11,Wednesday
1041,2007-11-08,35,17,0.81,1.38,38,11,Thursday
1042,2007-11-09,2987,185,0.92,4.49,19.5,11,Friday
1043,2007-11-10,99,13,0.93,4.48,7.5,11,Saturday
1044,2007-11-11,362,44,0.92,4.45,26,11,Sunday
1045,2007-11-12,960,116,0.92,4.48,7.5,11,Monday
1046,2007-11-13,5, -   ,0.87,4.52,11,11,Tuesday
1047,2007-11-14,68,39,0.92,4.49,7.5,11,Wednesday
1048,2007-11-15,691,83,0.92,4.5,11.5,11,Thursday
1049,2007-11-16,81,41,0.92,4.48,16,11,Friday
1050,2007-11-17,40,16,0.92,4.5,13.5,11,Saturday
1051,2007-11-18,34,22,0.86,4.53,22.5,11,Sunday
1052,2007-11-19,15,10,0.92,4.51,26,11,Monday
1053,2007-11-20,6,5,0.92,4.48,9,11,Tuesday
1054,2007-11-21,1219,78,0.61,3,42.5,11,Wednesday
1055,2007-11-22,130,58,0.61,3.01,30,11,Thursday
1056,2007-11-23,16,7,0.61,3.03,16.5,11,Friday
1057,2007-11-24,64,28,0.61,3.02,26,11,Saturday
1058,2007-11-25,15,5,0.7,9.67,12.5,11,Sunday
1059,2007-11-26,9,2,0.7,9.69,9.5,11,Monday
1060,2007-11-27,2,2,0.7,9.6,11,11,Tuesday
1061,2007-11-28,62,1,0.74,9.78,10,11,Wednesday
1062,2007-11-29,1563,93,0.7,9.73,16,11,Thursday
1063,2007-11-30,110,41,0.7,9.75,22,11,Friday
1064,2007-12-01,106,53,0.7,9.7,30.5,12,Saturday
1065,2007-12-02,244,99,0.7,9.67,12.5,12,Sunday
1066,2007-12-03,986,45,0.74,9.79,32,12,Monday
1067,2007-12-04,37,24,0.7,9.75,25,12,Tuesday
1068,2007-12-05,625,77,0.7,9.69,10,12,Wednesday
1069,2007-12-06,358,71,0.76,9.91,19.5,12,Thursday
1070,2007-12-07,262,110,0.91,3.61,11,12,Friday
1071,2007-12-08,965,127,0.92,3.64,12.5,12,Saturday
1072,2007-12-09,557,218,0.92,3.61,9.5,12,Sunday
1073,2007-12-10,142,60,0.92,3.58,20.5,12,Monday
1074,2007-12-11,1313,144,0.91,3.63,11,12,Tuesday
1075,2007-12-12,85,44,0.91,3.66,8.5,12,Wednesday
1076,2007-12-13,238,58,0.91,3.66,9.5,12,Thursday
1077,2007-12-14,1,1,0.92,3.67,16,12,Friday
1078,2007-12-15,856,102,0.92,3.57,29.5,12,Saturday
1079,2007-12-16,240,100,0.91,3.62,7,12,Sunday
1080,2007-12-17,24,17,0.92,3.62,10.5,12,Monday
1081,2007-12-18,9,5,0.92,3.66,16.5,12,Tuesday
1082,2007-12-19,338,119,0.87,6.11,22.5,12,Wednesday
1083,2007-12-20,2149,681,0.87,6.02,19.5,12,Thursday
1084,2007-12-21,433,65,0.87,6.16,32.5,12,Friday
1085,2007-12-22,464,57,0.96,3.3,16.5,12,Saturday
1086,2007-12-23,613,81,0.96,3.4,7,12,Sunday
1087,2007-12-24,648,90,0.96,3.19,11,12,Monday
1088,2007-12-25,300,154,0.96,3.17,19.5,12,Tuesday
1089,2007-12-26,366,48,0.94,3.45,34,12,Wednesday
1090,2007-12-27,153,56,0.96,3.49,26,12,Thursday
1091,2007-12-28,872,69,0.96,3.51,13.5,12,Friday
1092,2007-12-29,1090,147,0.96,3.48,5,12,Saturday
1093,2007-12-30,602,107,0.96,3.2,32.5,12,Sunday
1094,2007-12-31,598,103,0.94,3.42,45.5,12,Monday
1095,2008-01-01,28,21,0.96,3.38,27.5,1,Tuesday
1096,2008-01-02,1173,134,0.96,3.44,22.5,1,Wednesday
1097,2008-01-03,787,126,0.79,3.2,17.5,1,Thursday
1098,2008-01-04,594,103,0.79,3.25,11,1,Friday
1099,2008-01-05,81,41,0.79,3.14,16.5,1,Saturday
1100,2008-01-06,1904,182,0.79,3.13,25,1,Sunday
1101,2008-01-07,69,13,0.79,3.28,35,1,Monday
1102,2008-01-08,302,52,0.78,3.29,17.5,1,Tuesday
1103,2008-01-09,557,120,0.78,3.3,31.5,1,Wednesday
1104,2008-01-10,7, -   ,0.78,3.28,7,1,Thursday
1105,2008-01-11,150,74,0.79,3.16,27.5,1,Friday
1106,2008-01-12,841,79,0.79,3.27,3,1,Saturday
1107,2008-01-13,10,7,0.79,3.25,16.5,1,Sunday
1108,2008-01-14,375,87,0.79,3.27,7,1,Monday
1109,2008-01-15,42,18,0.6,1.4,13.5,1,Tuesday
1110,2008-01-16,110,50,0.71,7.28,8,1,Wednesday
1111,2008-01-17,48,24,0.72,7.29,8,1,Thursday
1112,2008-01-18,5,4,0.72,7.14,26.5,1,Friday
1113,2008-01-19,542,81,0.71,7.4,11,1,Saturday
1114,2008-01-20,224,87,0.71,7.33,8,1,Sunday
1115,2008-01-21,20,8,0.71,7.35,17,1,Monday
1116,2008-01-22,39,38,0.71,7.29,12,1,Tuesday
1117,2008-01-23,96,52,0.71,7.3,23,1,Wednesday
1118,2008-01-24,13,6,0.71,7.37,14.5,1,Thursday
1119,2008-01-25,14,4,0.84,3.24,23,1,Friday
1120,2008-01-26,7,5,0.84,3.26,14,1,Saturday
1121,2008-01-27,88,1,0.83,3.15,14,1,Sunday
1122,2008-01-28,876,99,0.85,3.19,12,1,Monday
1123,2008-01-29,175,65,0.85,3.33,11,1,Tuesday
1124,2008-01-30,395,115,0.84,3.29,9,1,Wednesday
1125,2008-01-31,601,175,0.84,3.31,22,1,Thursday
1126,2008-02-01,1108,53,0.85,3.27,9,2,Friday
1127,2008-02-02,91,53,0.85,3.24,29.5,2,Saturday
1128,2008-02-03,705,81,0.85,3.33,21,2,Sunday
1129,2008-02-04,571,86,0.85,3.3,8.5,2,Monday
1130,2008-02-05,552,166,0.85,3.26,7.5,2,Tuesday
1131,2008-02-06,1035,132,0.9,6.22,29.5,2,Wednesday
1132,2008-02-07,1299,307,0.9,6.29,15,2,Thursday
1133,2008-02-08,279,87,0.89,6.13,8.5,2,Friday
1134,2008-02-09,1374,150,0.9,6.19,11,2,Saturday
1135,2008-02-10,313,89,0.88,6.36,25,2,Sunday
1136,2008-02-11,451,93,0.9,6.29,18.5,2,Monday
1137,2008-02-12,3,2,0.9,6.36,10,2,Tuesday
1138,2008-02-13,994,114,0.9,6.28,11.5,2,Wednesday
1139,2008-02-14,555,149,0.9,6.23,11.5,2,Thursday
1140,2008-02-15,41,30,0.88,6.36,12,2,Friday
1141,2008-02-16,14,6,0.91,6.27,33,2,Saturday
1142,2008-02-17,518,176,0.9,6.31,35,2,Sunday
1143,2008-02-18,2191,707,0.91,4.49,21.5,2,Monday
1144,2008-02-19,534,62,0.87,4.55,13,2,Tuesday
1145,2008-02-20,532,62,0.92,4.42,13,2,Wednesday
1146,2008-02-21,658,81,0.88,4.54,11,2,Thursday
1147,2008-02-22,728,101,0.91,4.51,23.5,2,Friday
1148,2008-02-23,887,258,0.91,3.55,13,2,Saturday
1149,2008-02-24,406,60,0.81,4.91,15,2,Sunday
1150,2008-02-25,347,94,0.81,4.93,6.5,2,Monday
1151,2008-02-26,1038,78,0.81,4.84,27.5,2,Tuesday
1152,2008-02-27,1173,160,0.81,4.87,11,2,Wednesday
1153,2008-02-28,729,126,0.8,4.98,6.5,2,Thursday
1154,2008-02-29,790,115,0.81,4.95,9,2,Friday
1155,2008-03-01,22,19,0.81,4.96,6.5,3,Saturday
1156,2008-03-02,1349,146,0.81,4.93,16.5,3,Sunday
1157,2008-03-03,1294,166,0.81,4.9,5,3,Monday
1158,2008-03-04,674,114,0.8,4.98,13.5,3,Tuesday
1159,2008-03-05,242,73,0.81,4.96,27.5,3,Wednesday
1160,2008-03-06,1926,197,0.81,4.93,7,3,Thursday
1161,2008-03-07,92,15,0.91,1.22,13.5,3,Friday
1162,2008-03-08,352,54,0.92,1.19,8.5,3,Saturday
1163,2008-03-09,719,134,0.71,9.38,8,3,Sunday
1164,2008-03-10,11, -   ,0.61,3.73,27.5,3,Monday
1165,2008-03-11,454,135,0.61,3.76,12.5,3,Tuesday
1166,2008-03-12,1310,125,0.58,5.09,8,3,Wednesday
1167,2008-03-13,55,29,0.58,5.12,11,3,Thursday
1168,2008-03-14,498,99,0.58,4.99,8,3,Friday
1169,2008-03-15,116,31,0.58,5.01,17,3,Saturday
1170,2008-03-16,260,86,0.61,5.18,26,3,Sunday
1171,2008-03-17,92,29,0.58,5.17,13.5,3,Monday
1172,2008-03-18,27,19,0.58,5.19,7,3,Tuesday
1173,2008-03-19,558,87,0.58,5.15,13.5,3,Wednesday
1174,2008-03-20,302,99,0.58,5.05,19.5,3,Thursday
1175,2008-03-21,42,10,0.61,5.19,9,3,Friday
1176,2008-03-22,12,12,0.58,5.15,26,3,Saturday
1177,2008-03-23,223,83,0.58,5.14,42.5,3,Sunday
1178,2008-03-24,20,8,0.87,7.47,34,3,Monday
1179,2008-03-25,22,7,0.87,7.51,13.5,3,Tuesday
1180,2008-03-26,11,9,0.87,7.3,9,3,Wednesday
1181,2008-03-27,151,1,0.87,7.36,22.5,3,Thursday
1182,2008-03-28,937,110,0.85,7.63,5,3,Friday
1183,2008-03-29,276,83,0.86,7.57,26,3,Saturday
1184,2008-03-30,453,116,0.86,7.6,9,3,Sunday
1185,2008-03-31,698,176,0.87,7.53,19.5,3,Monday
1186,2008-04-01,744,50,0.87,7.58,16.5,4,Tuesday
1187,2008-04-02,96,58,0.87,7.52,30,4,Wednesday
1188,2008-04-03,708,81,0.53,11.51,16.5,4,Thursday
1189,2008-04-04,594,89,0.53,11.59,13.5,4,Friday
1190,2008-04-05,551,165,0.53,11.38,22.5,4,Saturday
1191,2008-04-06,1048,133,0.53,11.66,9,4,Sunday
1192,2008-04-07,1380,318,0.53,11.67,7,4,Monday
1193,2008-04-08,334,93,0.53,11.7,20.5,4,Tuesday
1194,2008-04-09,1448,150,0.53,11.65,16,4,Wednesday
1195,2008-04-10,320,88,0.53,11.43,11,4,Thursday
1196,2008-04-11,438,96,0.53,11.65,10.5,4,Friday
1197,2008-04-12,5,2,0.53,11.6,19,4,Saturday
1198,2008-04-13,974,111,0.53,11.62,9.5,4,Sunday
1199,2008-04-14,664,154,0.58,2.78,32,4,Monday
1200,2008-04-15,51,32,0.58,2.73,25,4,Tuesday
1201,2008-04-16,22,10,0.58,2.73,11,4,Wednesday
1202,2008-04-17,533,185,0.61,2.84,32.5,4,Thursday
1203,2008-04-18,2087,717,0.58,2.84,10.5,4,Friday
1204,2008-04-19,473,68,0.58,2.85,27.5,4,Saturday
1205,2008-04-20,534,60,0.58,2.83,7,4,Sunday
1206,2008-04-21,568,82,0.58,2.75,16.5,4,Monday
1207,2008-04-22,803,111,0.61,2.83,22.5,4,Tuesday
1208,2008-04-23,986,263,0.58,2.82,7,4,Wednesday
1209,2008-04-24,418,57,0.92,1.79,16.5,4,Thursday
1210,2008-04-25,331,89,0.91,1.82,26,4,Friday
1211,2008-04-26,1041,76,0.72,9.75,19.5,4,Saturday
1212,2008-04-27,1166,155,0.72,9.8,34,4,Sunday
1213,2008-04-28,698,129,0.72,9.63,11,4,Monday
1214,2008-04-29,843,115,0.71,10.16,22.5,4,Tuesday
1215,2008-04-30,8,8,0.72,9.84,10.5,4,Wednesday
1216,2008-05-01,1421,143,0.72,9.7,38.5,5,Thursday
1217,2008-05-02,1242,167,0.71,9.91,19.5,5,Friday
1218,2008-05-03,732,116,0.72,9.85,7,5,Saturday
1219,2008-05-04,236,71,0.72,9.82,27.5,5,Sunday
1220,2008-05-05,1896,192,0.71,1.58,22.5,5,Monday
1221,2008-05-06,88,14,0.71,1.6,13.5,5,Tuesday
1222,2008-05-07,330,55,0.71,1.54,7,5,Wednesday
1223,2008-05-08,728,133,0.72,1.27,30,5,Thursday
1224,2008-05-09,11, -   ,0.72,1.4,16.5,5,Friday
1225,2008-05-10,475,131,0.72,1.61,9,5,Saturday
1226,2008-05-11,1289,114,0.72,1.57,11,5,Sunday
1227,2008-05-12,66,30,0.72,1.37,11,5,Monday
1228,2008-05-13,556,97,0.9,11.53,16.5,5,Tuesday
1229,2008-05-14,130,35,0.88,9.51,22.5,5,Wednesday
1230,2008-05-15,257,87,0.84,9.83,27.5,5,Thursday
1231,2008-05-16,114,32,0.83,12.34,10.5,5,Friday
1232,2008-05-17,44,34,0.82,11.78,7,5,Saturday
1233,2008-05-18,596,83,0.81,11.81,38.5,5,Sunday
1234,2008-05-19,323,99,0.81,12.56,22.5,5,Monday
1235,2008-05-20,58,13,0.84,10.02,11,5,Tuesday
1236,2008-05-21,15,15,0.82,12.62,15,5,Wednesday
1237,2008-05-22,263,88,0.84,9.99,9,5,Thursday
1238,2008-05-23,12,6,0.81,11.96,7,5,Friday
1239,2008-05-24,23,7,0.84,10,26,5,Saturday
1240,2008-05-25,13,11,0.84,9.94,16.5,5,Sunday
1241,2008-05-26,139,1,0.84,9.96,11,5,Monday
1242,2008-05-27,887,108,0.9,11.54,5,5,Tuesday
1243,2008-05-28,290,83,0.89,11.34,27.5,5,Wednesday
1244,2008-05-29,441,111,0.9,11.41,10,5,Thursday
1245,2008-05-30,766,180,0.9,11.67,11,5,Friday
1246,2008-05-31,761,53,0.9,11.7,18,5,Saturday
1247,2008-06-01,119,57,0.9,11.63,19,6,Sunday
1248,2008-06-02,723,85,0.9,11.5,11,6,Monday
1249,2008-06-03,569,85,0.87,11.74,27.5,6,Tuesday
1250,2008-06-04,622,165,0.9,11.67,15,6,Wednesday
1251,2008-06-05,1022,134,0.71,10.42,10.5,6,Thursday
1252,2008-06-06,1534,326,0.71,10.6,7.5,6,Friday
1253,2008-06-07,340,91,0.51,5.06,7.5,6,Saturday
1254,2008-06-08,1490,152,0.51,5.07,6.5,6,Sunday
1255,2008-06-09,334,89,0.51,4.96,3,6,Monday
1256,2008-06-10,458,86,0.5,5.01,12,6,Tuesday
1257,2008-06-11,5,2,0.51,5.15,17.5,6,Wednesday
1258,2008-06-12,1025,117,0.51,5.1,35,6,Thursday
1259,2008-06-13,610,156,0.51,5.11,11,6,Friday
1260,2008-06-14,41,25,0.51,5.07,11,6,Saturday
1261,2008-06-15,21,9,0.51,5.06,11,6,Sunday
1262,2008-06-16,517,171,0.51,5.16,27,6,Monday
1263,2008-06-17,2377,750,0.51,5.12,26,6,Tuesday
1264,2008-06-18,513,67,0.51,5.06,12.5,6,Wednesday
1265,2008-06-19,547,64,0.62,9.13,8,6,Thursday
1266,2008-06-20,611,85,0.79,4.36,16,6,Friday
1267,2008-06-21,827,112,0.79,4.37,13,6,Saturday
1268,2008-06-22,946,266,0.79,4.31,8,6,Sunday
1269,2008-06-23,463,60,0.79,4.33,7.5,6,Monday
1270,2008-06-24,348,92,0.79,4.4,14,6,Tuesday
1271,2008-06-25,1077,80,0.79,4.38,16,6,Wednesday
1272,2008-06-26,1238,154,0.79,4.39,6.5,6,Thursday
1273,2008-06-27,723,130,0.79,4.37,11,6,Friday
1274,2008-06-28,823,114,0.79,4.36,10.5,6,Saturday
1275,2008-06-29,20,18,0.79,4.41,15,6,Sunday
1276,2008-06-30,1440,145,0.79,4.39,32.5,6,Monday
1277,2008-07-01,1242,164,0.79,4.37,24,7,Tuesday
1278,2008-07-02,694,115,0.56,2.13,16,7,Wednesday
1279,2008-07-03,259,76,0.56,2.15,10.5,7,Thursday
1280,2008-07-04,1863,199,0.56,2.11,11,7,Friday
1281,2008-07-05,87,15,0.56,5.04,3.5,7,Saturday
1282,2008-07-06,370,55,0.56,5.04,9,7,Sunday
1283,2008-07-07,670,141,0.65,9.84,7,7,Monday
1284,2008-07-08,8, -   ,0.65,9.85,16.5,7,Tuesday
1285,2008-07-09,425,139,0.65,9.71,26,7,Wednesday
1286,2008-07-10,1319,124,0.66,9.77,8.5,7,Thursday
1287,2008-07-11,65,30,0.64,9.96,22.5,7,Friday
1288,2008-07-12,518,97,0.89,14.56,3.5,7,Saturday
1289,2008-07-13,170,41,0.89,14.4,30,7,Sunday
1290,2008-07-14,254,87,0.88,14.75,16.5,7,Monday
1291,2008-07-15,113,31,0.89,14.75,9,7,Tuesday
1292,2008-07-16,23,18,0.89,14.78,16.5,7,Wednesday
1293,2008-07-17,640,91,0.9,14.72,34,7,Thursday
1294,2008-07-18,340,106,0.9,14.48,7,7,Friday
1295,2008-07-19,50,11,0.88,14.79,22.5,7,Saturday
1296,2008-07-20,10,10,0.9,14.73,16.5,7,Sunday
1297,2008-07-21,295,89,0.92,1.66,9,7,Monday
1298,2008-07-22,15,7,0.92,1.67,13.5,7,Tuesday
1299,2008-07-23,22,6,0.92,1.59,11,7,Wednesday
1300,2008-07-24,11,10,0.92,1.7,14.5,7,Thursday
1301,2008-07-25,167,1,0.92,1.68,27,7,Friday
1302,2008-07-26,920,115,0.81,1.73,9.5,7,Saturday
1303,2008-07-27,316,82,0.92,1.7,9.5,7,Sunday
1304,2008-07-28,292,101,0.92,1.27,19,7,Monday
1305,2008-07-29,508,167,0.91,1.25,7.5,7,Tuesday
1306,2008-07-30,1371,51,0.91,1.27,10,7,Wednesday
1307,2008-07-31,69,43,0.92,1.24,11,7,Thursday
1308,2008-08-01,883,86,0.92,1.15,35,8,Friday
1309,2008-08-02,600,85,0.92,1.24,11,8,Saturday
1310,2008-08-03,539,162,0.92,9.72,25,8,Sunday
1311,2008-08-04,1048,132,0.92,9.55,19,8,Monday
1312,2008-08-05,1173,298,0.93,9.62,11,8,Tuesday
1313,2008-08-06,313,90,0.9,9.86,10.5,8,Wednesday
1314,2008-08-07,1853,152,0.93,9.8,38.5,8,Thursday
1315,2008-08-08,240,83,0.93,9.83,22.5,8,Friday
1316,2008-08-09,321,78,0.93,9.76,27.5,8,Saturday
1317,2008-08-10,3,1,0.93,9.7,13.5,8,Sunday
1318,2008-08-11,1271,123,0.9,9.88,45.5,8,Monday
1319,2008-08-12,524,150,0.93,9.82,27.5,8,Tuesday
1320,2008-08-13,32,25,0.7,9.65,32.5,8,Wednesday
1321,2008-08-14,18,9,0.7,9.68,45.5,8,Thursday
1322,2008-08-15,443,156,0.7,9.7,13.5,8,Friday
1323,2008-08-16,2402,759,0.7,9.73,22.5,8,Saturday
1324,2008-08-17,651,70,0.88,9.1,10.5,8,Sunday
1325,2008-08-18,645,60,0.84,9.34,11,8,Monday
1326,2008-08-19,765,83,0.83,9.35,24,8,Tuesday
1327,2008-08-20,956,116,0.83,9.37,10.5,8,Wednesday
1328,2008-08-21,648,243,0.83,9.27,10.5,8,Thursday
1329,2008-08-22,489,62,0.81,9.43,16.5,8,Friday
1330,2008-08-23,269,88,0.83,9.41,13.5,8,Saturday
1331,2008-08-24,1285,80,0.83,9.42,27.5,8,Sunday
1332,2008-08-25,1527,162,0.83,9.39,5,8,Monday
1333,2008-08-26,875,134,0.84,9.33,45.5,8,Tuesday
1334,2008-08-27,672,111,0.81,9.43,25,8,Wednesday
1335,2008-08-28,21,14,0.84,9.4,17,8,Thursday
1336,2008-08-29,1634,146,0.84,9.38,11.5,8,Friday
1337,2008-08-30,1485,172,0.79,6.42,11,8,Saturday
1338,2008-08-31,835,119,0.79,6.46,11.5,8,Sunday
1339,2008-09-01,194,71,0.79,6.31,11,9,Monday
1340,2008-09-02,2607,206,0.8,6.35,33.5,9,Tuesday
1341,2008-09-03,84,15,0.77,6.54,7,9,Wednesday
1342,2008-09-04,405,56,0.79,6.51,10.5,9,Thursday
1343,2008-09-05,843,149,0.79,6.53,27.5,9,Friday
1344,2008-09-06,11, -   ,0.79,6.48,32.5,9,Saturday
1345,2008-09-07,283,121,0.8,6.4,16.5,9,Sunday
1346,2008-09-08,1251,123,0.77,6.54,22.5,9,Monday
1347,2008-09-09,31,17,0.8,6.5,11,9,Tuesday
1348,2008-09-10,522,99,0.79,6.47,10.5,9,Wednesday
1349,2008-09-11,138,37,0.91,10.83,16.5,9,Thursday
1350,2008-09-12,182,75,0.91,10.89,27.5,9,Friday
1351,2008-09-13,77,29,0.91,10.74,32.5,9,Saturday
1352,2008-09-14,17,14,0.91,10.73,11,9,Sunday
1353,2008-09-15,766,95,0.9,10.94,9,9,Monday
1354,2008-09-16,275,92,0.91,10.96,22.5,9,Tuesday
1355,2008-09-17,56,12,0.91,10.98,30,9,Wednesday
1356,2008-09-18,11,11,0.91,10.95,19.5,9,Thursday
1357,2008-09-19,178,77,0.91,10.76,38,9,Friday
1358,2008-09-20,23,6,0.9,10.92,27.5,9,Saturday
1359,2008-09-21,14,6,0.92,10.89,7,9,Sunday
1360,2008-09-22,7,6,0.91,10.93,13.5,9,Monday
1361,2008-09-23,159,1,0.46,14.76,16.5,9,Tuesday
1362,2008-09-24,1184,111,0.91,1.22,10.5,9,Wednesday
1363,2008-09-25,250,75,0.91,1.19,5,9,Thursday
1364,2008-09-26,99,50,0.92,1.1,7,9,Friday
1365,2008-09-27,157,80,0.92,1.18,8,9,Saturday
1366,2008-09-28,1137,44,0.91,3.48,8,9,Sunday
1367,2008-09-29,28,23,0.91,3.45,16.5,9,Monday
1368,2008-09-30,1066,83,0.91,3.51,13,9,Tuesday
1369,2008-10-01,318,71,0.91,3.55,27.5,10,Wednesday
1370,2008-10-02,150,66,0.91,3.44,11,10,Thursday
1371,2008-10-03,889,111,0.91,3.49,8,10,Friday
1372,2008-10-04,388,134,0.91,3.54,16.5,10,Saturday
1373,2008-10-05,146,56,0.7,6.29,9,10,Sunday
1374,2008-10-06,1747,149,0.7,6.61,11,10,Monday
1375,2008-10-07,71,32,0.7,6.64,26,10,Tuesday
1376,2008-10-08,138,32,0.7,6.45,34,10,Wednesday
1377,2008-10-09,1,1,0.8,6.51,19.5,10,Thursday
1378,2008-10-10,1203,115,0.8,6.55,9,10,Friday
1379,2008-10-11,182,71,0.8,6.4,16.5,10,Saturday
1380,2008-10-12,17,15,0.8,6.44,22.5,10,Sunday
1381,2008-10-13,1,1,0.77,6.63,32.5,10,Monday
1382,2008-10-14,176,66,0.79,6.6,19.5,10,Tuesday
1383,2008-10-15,1342,432,0.79,6.61,7,10,Wednesday
1384,2008-10-16,724,67,0.8,6.57,8.5,10,Thursday
1385,2008-10-17,642,57,0.8,6.49,11,10,Friday
1386,2008-10-18,843,80,0.77,6.63,9.5,10,Saturday
1387,2008-10-19,1049,105,0.8,6.59,27,10,Sunday
1388,2008-10-20,171,91,0.8,6.56,13.5,10,Monday
1389,2008-10-21,511,56,0.6,10.08,9.5,10,Tuesday
1390,2008-10-22,76,35,0.6,10.13,17,10,Wednesday
1391,2008-10-23,971,74,0.6,9.96,8,10,Thursday
1392,2008-10-24,1515,159,0.6,9.99,7.5,10,Friday
1393,2008-10-25,849,126,0.58,10.21,14,10,Saturday
1394,2008-10-26,434,76,0.6,10.18,11,10,Sunday
1395,2008-10-27,12,12,0.6,10.2,26,10,Monday
1396,2008-10-28,1464,141,0.6,10.05,19,10,Tuesday
1397,2008-10-29,1057,133,0.58,10.21,7.5,10,Wednesday
1398,2008-10-30,892,122,0.6,10.16,30,10,Thursday
1399,2008-10-31,48,22,0.6,10.14,13.5,10,Friday
1400,2008-11-01,3006,202,0.81,3.12,16.5,11,Saturday
1401,2008-11-02,74,11,0.8,3.18,9,11,Sunday
1402,2008-11-03,432,52,0.81,3.08,7,11,Monday
1403,2008-11-04,855,138,0.81,3.15,19.5,11,Tuesday
1404,2008-11-05,10, -   ,0.81,3.14,16.5,11,Wednesday
1405,2008-11-06,56,36,0.81,3.18,9,11,Thursday
1406,2008-11-07,700,81,0.81,3.1,10.5,11,Friday
1407,2008-11-08,5,5,0.82,3.13,10.5,11,Saturday
1408,2008-11-09,251,67,0.82,3.12,5,11,Sunday
1409,2008-11-10,70,23,0.74,9.8,27.5,11,Monday
1410,2008-11-11,53,27,0.76,9.79,9,11,Tuesday
1411,2008-11-12,24,10,0.76,9.55,8.5,11,Wednesday
1412,2008-11-13,7,6,0.76,9.62,11,11,Thursday
1413,2008-11-14,984,84,0.72,9.96,8.5,11,Friday
1414,2008-11-15,109,47,0.74,9.94,18,11,Saturday
1415,2008-11-16,46,12,0.77,9.8,14,11,Sunday
1416,2008-11-17,16,14,0.76,9.72,26,11,Monday
1417,2008-11-18,65,30,0.74,9.95,15,11,Tuesday
1418,2008-11-19,16,6,0.77,9.88,7,11,Wednesday
1419,2008-11-20,2,2,0.77,9.79,12,11,Thursday
1420,2008-11-21,81,1,0.92,3,7,11,Friday
1421,2008-11-22,1354,106,0.92,3.16,6.5,11,Saturday
1422,2008-11-23,98,42,0.7,10.28,25,11,Sunday
1423,2008-11-24,124,56,0.7,10.06,11,11,Monday
1424,2008-11-25,170,76,0.7,10.12,6.5,11,Tuesday
1425,2008-11-26,1200,40,0.7,10.39,7.5,11,Wednesday
1426,2008-11-27,26,17,0.7,10.34,7.5,11,Thursday
1427,2008-11-28,868,79,0.7,10.37,17,11,Friday
1428,2008-11-29,265,55,0.7,10.3,13,11,Saturday
1429,2008-11-30,268,105,0.7,10.2,26,11,Sunday
1430,2008-12-01,852,110,0.7,10.4,12,12,Monday
1431,2008-12-02,462,162,0.7,10.34,13.5,12,Tuesday
1432,2008-12-03,190,72,0.7,10.29,19.5,12,Wednesday
1433,2008-12-04,1571,143,0.89,11.6,27.5,12,Thursday
1434,2008-12-05,97,40,0.87,11.73,16.5,12,Friday
1435,2008-12-06,172,43,0.9,11.61,3,12,Saturday
1436,2008-12-07,1122,121,0.65,4.14,10.5,12,Sunday
1437,2008-12-08,189,76,0.64,4.2,8,12,Monday
1438,2008-12-09,11,9,0.64,4.2,26,12,Tuesday
1439,2008-12-10,3,2,0.61,2.97,13,12,Wednesday
1440,2008-12-11,227,82,0.6,2.97,11,12,Thursday
1441,2008-12-12,1772,623,0.59,3.03,26,12,Friday
1442,2008-12-13,565,66,0.61,3.03,42.5,12,Saturday
1443,2008-12-14,608,61,0.61,3.02,34,12,Sunday
1444,2008-12-15,836,80,0.6,2.98,22.5,12,Monday
1445,2008-12-16,915,109,0.59,3.03,5,12,Tuesday
1446,2008-12-17,212,114,0.61,3.02,13.5,12,Wednesday
1447,2008-12-18,443,54,0.93,2.59,11,12,Thursday
1448,2008-12-19,86,40,0.93,2.7,31.5,12,Friday
1449,2008-12-20,923,69,0.93,2.71,18,12,Saturday
1450,2008-12-21,1527,152,0.94,2.75,9,12,Sunday
1451,2008-12-22,787,122,0.71,2.34,10.5,12,Monday
1452,2008-12-23,549,87,0.71,2.39,19.5,12,Tuesday
1453,2008-12-24,1412,136,0.72,2.32,10.5,12,Wednesday
1454,2008-12-25,762,113,0.62,1.38,19.5,12,Thursday
1455,2008-12-26,818,114,0.61,1.22,11,12,Friday
1456,2008-12-27,68,29,0.62,1.39,26,12,Saturday
1457,2008-12-28,2475,189,0.72,10.4,16.5,12,Sunday
1458,2008-12-29,75,16,0.66,9.88,34,12,Monday
1459,2008-12-30,427,49,0.66,9.92,3.5,12,Tuesday
1460,2008-12-31,807,129,0.66,9.77,16.5,12,Wednesday
1461,2009-01-01,7, -   ,0.67,9.81,9,1,Thursday
1462,2009-01-02,182,72,0.65,9.99,27.5,1,Friday
